                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                  1.258,                 2.3408,                 2.7021,                 1.2035,                0.24585,                0.58255,                0.33915,                0.27685,                0.24477,                 0.5748,                0.33852,                0.26131,                0.87312,                 1.3713,                 2.1608,                 1.0351,             0.00021011,             0.00021011,             0.00021011
                     40,                  1.207,                 2.1471,                  2.623,                 1.1699,                0.25204,                0.54682,                0.34674,                0.28041,                0.25204,                0.54682,                0.34583,                0.26741,                0.84263,                 1.3318,                 2.1053,                 1.0369,             0.00020828,             0.00020828,             0.00020828
                     41,                 1.2116,                 2.2035,                 2.6436,                 1.1922,                0.24543,                0.57033,                0.35676,                0.28521,                0.24543,                0.57033,                0.35593,                0.26794,                0.85225,                  1.297,                 2.1116,                  1.041,             0.00020644,             0.00020644,             0.00020644
                     42,                 1.2213,                 2.2192,                 2.6127,                 1.1653,                0.26663,                0.48745,                0.37035,                0.30259,                0.26663,                0.48745,                0.36951,                0.28585,                0.81848,                 1.2933,                 2.1024,                 1.0218,             0.00020461,             0.00020461,             0.00020461
                     43,                 1.1838,                 2.1211,                 2.5865,                 1.1512,                0.27335,                0.48655,                0.37032,                0.30645,                0.27047,                0.48746,                0.36376,                0.29279,                0.80435,                 1.2843,                 2.1154,                 1.0113,             0.00020277,             0.00020277,             0.00020277
                     44,                 1.2119,                  2.225,                 2.6242,                 1.1589,                0.27514,                0.47346,                0.38042,                0.31284,                0.27462,                0.47669,                0.37483,                0.30456,                0.84446,                 1.3035,                  2.085,                 1.0271,             0.00020094,             0.00020094,             0.00020094
                     45,                 1.2384,                 2.2449,                 2.6387,                 1.1731,                0.27935,                0.55896,                0.39589,                0.31599,                0.27733,                0.55506,                0.39016,                0.31214,                0.87506,                 1.2972,                 2.0292,                 1.0371,              0.0001991,              0.0001991,              0.0001991
                     46,                 1.2525,                 2.2538,                 2.5732,                 1.1783,                0.25186,                0.58792,                0.40142,                0.32076,                0.24987,                0.58402,                0.39576,                0.31592,                0.86997,                  1.281,                 1.9871,                 1.0316,             0.00019727,             0.00019727,             0.00019727
                     47,                 1.2127,                 2.2568,                 2.5826,                 1.1588,                0.24242,                0.59124,                0.40658,                0.32917,                0.24034,                0.58734,                0.39954,                0.31974,                0.83745,                 1.2555,                  1.978,                 1.0165,             0.00019543,             0.00019543,             0.00019543
                     48,                 1.1848,                  2.176,                 2.4791,                 1.1641,                0.24183,                 0.6134,                0.40885,                0.33703,                0.24183,                 0.6134,                0.40747,                0.32344,                0.81697,                 1.2549,                 2.0083,                 1.0126,              0.0001936,              0.0001936,              0.0001936
