                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8513,                 5.4364,                 3.6995,                 1.8763,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.0743,                 1776.3,             1.6452e+05,                 56.367,             0.00023121,             0.00023121,             0.00023121
                     36,                 1.6829,                 3.3693,                 3.3284,                 1.6816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.609,                 99.762,                 6182.7,                 7.4806,             0.00022984,             0.00022984,             0.00022984
                     37,                 1.3819,                 2.6236,                 2.3557,                  1.438,                 0.0718,                 0.0599,                0.04712,                 0.0245,                 0.0718,                 0.0599,                0.04712,                0.02477,                 1.2836,                 3.4249,                 23.914,                 1.2765,             0.00022846,             0.00022846,             0.00022846
                     38,                 1.2774,                 2.2219,                 1.8087,                 1.2585,                0.23365,                 0.6098,                0.35629,                0.27383,                0.23365,                 0.6098,                0.35573,                0.26323,                0.96839,                 1.7305,                 2.7338,                 1.1119,             0.00022708,             0.00022708,             0.00022708
                     39,                 1.1796,                 1.9745,                 1.6918,                 1.1887,                0.32271,                0.68599,                0.47549,                0.37639,                0.32271,                0.68599,                0.47549,                0.36266,                0.89406,                 1.3714,                 1.8619,                 1.0681,             0.00022571,             0.00022571,             0.00022571
                     40,                 1.1328,                 1.9528,                  1.599,                 1.2025,                0.38688,                0.75658,                0.52731,                0.41645,                0.38688,                0.75658,                0.52731,                0.40148,                0.88881,                 1.2898,                 1.7582,                 1.0698,             0.00022433,             0.00022433,             0.00022433
                     41,                 1.1257,                 1.8653,                 1.5671,                 1.1825,                0.34783,                0.73674,                0.54428,                0.43104,                0.34783,                0.73674,                0.54428,                0.43124,                  0.922,                 1.2598,                 1.6463,                 1.0919,             0.00022296,             0.00022296,             0.00022296
                     42,                 1.1225,                 1.8304,                 1.5742,                 1.1891,                0.37282,                0.81394,                 0.5423,                0.44917,                0.37282,                0.81394,                 0.5423,                0.43047,                0.79005,                 1.2684,                 1.4669,                 1.0262,             0.00022158,             0.00022158,             0.00022158
                     43,                 1.0565,                 1.8264,                 1.4226,                 1.1697,                0.35943,                0.78956,                0.57786,                0.46399,                0.35943,                0.78956,                0.57786,                0.45079,                0.88188,                 1.3647,                 1.4407,                 1.0624,              0.0002202,              0.0002202,              0.0002202
                     44,                 1.0518,                 1.7434,                 1.3586,                 1.1246,                0.36079,                0.81651,                0.55971,                0.45922,                0.36079,                0.81651,                0.55971,                0.43703,                 0.8211,                 1.3246,                 1.4954,                 1.0468,             0.00021883,             0.00021883,             0.00021883
                     45,                 1.0721,                 1.7627,                 1.3491,                 1.1235,                0.39253,                0.72643,                0.56249,                0.44812,                0.39253,                0.72643,                0.56249,                0.44125,                 0.8424,                 1.2182,                 1.4144,                 1.0436,             0.00021745,             0.00021745,             0.00021745
                     46,                  1.408,                 3.6825,                 2.3871,                 1.3045,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4.207,                 540.35,                 6180.5,                 29.626,             0.00021608,             0.00021608,             0.00021608
                     47,                 1.2459,                 2.8603,                  1.901,                 1.2182,                 0.0625,                0.01042,                0.03646,                0.02917,                 0.0625,                0.01042,                0.03646,                0.03099,                 1.7034,                 14.036,                 67.037,                 1.5814,              0.0002147,              0.0002147,              0.0002147
                     48,                 1.1985,                 2.5358,                 1.7553,                 1.2188,                 0.3079,                0.66572,                0.47805,                0.37733,                 0.3079,                0.66572,                0.47805,                0.34328,                0.86542,                  1.678,                 5.7086,                 1.0436,             0.00021332,             0.00021332,             0.00021332
                     49,                  1.145,                 2.1125,                 1.5615,                 1.1425,                0.35934,                0.76886,                0.54049,                0.43427,                0.35934,                0.76886,                0.54041,                 0.4042,                0.87495,                 1.5358,                 1.5613,                 1.0406,             0.00021195,             0.00021195,             0.00021195
                     50,                 1.0969,                 1.8974,                 1.4523,                 1.1316,                0.37326,                0.75994,                0.56512,                0.45493,                0.37326,                0.75994,                0.56512,                0.43006,                0.84945,                 1.4423,                  1.456,                 1.0475,             0.00021057,             0.00021057,             0.00021057
                     51,                 1.0624,                 1.9132,                 1.4231,                 1.1244,                0.38537,                0.83447,                0.56643,                0.44961,                0.38537,                0.83447,                0.56643,                 0.4236,                0.92111,                 1.2936,                 1.3883,                 1.1161,             0.00020919,             0.00020919,             0.00020919
                     52,                 1.0756,                 1.8402,                   1.36,                 1.1263,                0.45364,                0.82064,                0.57362,                 0.4565,                0.45364,                0.82064,                0.57362,                0.42614,                0.85056,                 1.2881,                 1.3447,                 1.0676,             0.00020782,             0.00020782,             0.00020782
                     53,                 1.0342,                 1.7752,                 1.3538,                 1.0953,                0.39061,                0.82106,                0.53501,                0.43299,                0.39061,                0.82106,                0.53501,                0.42228,                0.84288,                 1.1576,                 1.3654,                 1.0495,             0.00020644,             0.00020644,             0.00020644
                     54,                0.99652,                 1.7882,                 1.3027,                 1.0978,                 0.3784,                0.82596,                 0.5436,                0.41996,                 0.3784,                0.82596,                 0.5436,                0.42381,                0.91071,                 1.1959,                 1.3594,                 1.0741,             0.00020507,             0.00020507,             0.00020507
                     55,                 1.0084,                 1.7351,                 1.2643,                 1.0782,                0.39421,                0.77426,                0.57054,                0.45242,                0.39421,                0.77426,                0.57054,                0.45046,                0.89744,                 1.2107,                 1.3664,                 1.0844,             0.00020369,             0.00020369,             0.00020369
                     56,                 1.2863,                  4.123,                 1.9215,                 1.2354,                0.02842,                0.02448,                0.01486,                0.00386,                      0,                      0,                      0,                      0,                 2.7474,                  10.87,                 28.663,                 2.2098,             0.00020231,             0.00020231,             0.00020231
                     57,                 1.2405,                 3.0903,                 1.7379,                 1.2078,                0.12484,                  0.509,                0.26974,                0.17619,                0.09865,                0.41265,                 0.2028,                0.09653,                 1.3985,                 3.6684,                 3.0336,                 1.2902,             0.00020094,             0.00020094,             0.00020094
                     58,                 1.1909,                 3.2203,                 1.6434,                 1.2514,                0.28586,                0.66488,                0.45551,                0.33701,                0.28651,                0.66319,                0.45544,                0.28638,                 1.0097,                 2.0841,                 2.0129,                 1.1387,             0.00019956,             0.00019956,             0.00019956
                     59,                  1.168,                 2.5041,                 1.5278,                 1.1569,                0.32277,                0.66836,                0.49981,                0.37814,                0.32363,                0.67706,                 0.5011,                0.33747,                0.93909,                  1.851,                 1.6988,                 1.1199,             0.00019819,             0.00019819,             0.00019819
                     60,                 1.0247,                  2.061,                 1.4273,                 1.1052,                 0.3715,                0.79627,                0.57468,                  0.458,                 0.3715,                0.79627,                0.57468,                  0.422,                0.86936,                 1.4353,                 1.4349,                 1.0754,             0.00019681,             0.00019681,             0.00019681
                     61,                0.98584,                 2.6984,                 1.3872,                  1.099,                0.37771,                 0.7121,                0.51831,                0.40262,                0.37771,                 0.7121,                0.51651,                0.38587,                0.91299,                 1.3768,                 1.4856,                 1.0734,             0.00019543,             0.00019543,             0.00019543
